id_carpeta,carpeta,delito,fecha,sintesis,juzgado,exp_jud,fecha_proceso,fecha_sentencia,municipio,id_exp_jud,tiempo_carp_proceso,tiempo_proceso_sentencia,tiempo_carp_sentencia,repeticiones,violacion,violencia_familiar,violacion_violencia
00007,CI/RIN/00007/01-22,Violencia familiar,2022-01-07,VIOLENCIA FAMILIAR: SEÑALA LA DENUNCIANTE QUE SU PAREJA LA AGREDE FISICAMENTE. P.R. 1(IDENTIFIADO).,NA,NA,NA,NA,RIN,NA,NA,NA,NA,5,1,1,1
00008,CI/CAL/00008/01-22,Violencia familiar,2022-01-04,VIOLENCIA FAMILIAR: LA DENUNCIANTE SEÑALA QUE SU HERMANA AGREDIO FISICAMENTE A SU HIJA. P.R. 1(IDENTIFICADA),NA,NA,NA,NA,CAL,NA,NA,NA,NA,2,0,1,0
00008,CI/RIN/00008/01-22,Violencia familiar,2022-01-07,VIOLENCIA FAMILIAR: LA DENUNCIANTE REFIERE QUE SU HERMANO LA AGREDIO FISICAMENTE. P.R. 1(IDENTIFICADO).,NA,NA,NA,NA,RIN,NA,NA,NA,NA,2,0,1,0
00010,CI/PAB/00010/01-20,Violencia familiar,2020-01-02,"VIOLENCIA FAMILIAR, SU CONCUBINO LA AGREDIO FÍSICAMENTE. SIENDO QUE NO ES LA PRIMERA VEZ QUE LA AGREDE. PR1 (IDENTIFICADO)",NA,NA,NA,NA,PAB,NA,NA,NA,NA,1,0,1,0
00011,CI/RIN/00011/01-20,Violencia familiar,2020-01-03,"VIOLENCIA FAMILIAR, DESDE QUE COMENZO A VIVIR EN UNION LIBRE CON EL AHORA IMPUTADO, ESTE LA HA AGREDIDO FISICAMENTE EN VARIAS OCASIONES. PR1 (IDENTIFICADO)",NA,NA,NA,NA,RIN,NA,NA,NA,NA,1,0,1,0
00012,CI/AGS/00012/01-22,Violencia familiar,2022-01-01,"VIOLENCIA FAMILIAR< DENUNCIANTE MENCIONA QUE ES VICTIMA DE VIOLENCIA VERBAL Y PSICOLOGICA DESDE HACE 2 AÑOS, LA ULTIMA VEZ SU PAREJA LA AGREDIO FISICAMENTE, PR1 (DETENIDO).",NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,0,1,0
00012,CI/COS/00012/01-22,Violencia familiar,2022-01-17,"VIOLENCIA FAMILIAR< DENUNCIANTE MENCIONA QUE SU ESPOSO LA VIOLENTA FISICA Y PSICOLOGICAMENTE DESDE QUE SE CASARON, PR1 (IDENTIFICADO).",NA,NA,NA,NA,COS,NA,NA,NA,NA,2,0,1,0
00013,CI/CAL/00013/01-22,Violencia familiar,2022-01-06,"VIOLENCIA FAMILIAR< DENUNCIANTE MENCIONA QUE SU ESPOSO LA AGREDIO FISICAMENTE TRAS UNA DISCUSION, PR1 (IDENTIFICADO).",NA,NA,NA,NA,CAL,NA,NA,NA,NA,1,0,1,0
00014,CI/AGS/00014/01-20,Violencia familiar,2020-01-01,"VIOLENCIA FAMILIAR, SE INFORMA DE UN MENOR DE EDAD DE UN AÑO, IGRESÓ AL HH POR INGESTA AL PARECER DE MENTANFETAMINA. SE HACE CONSTAR, LA EXISTENCIA DE ANTECEDENTE POR PARTE DE TRABAJADORA SOCIAL, DONDE SE ADVIERTE QUE EN DIVERSA OCASION INGRESÓ POR INGESTA DE LA DROGA CONOCIDA COMO CRISTAL. PR1",NA,NA,NA,NA,AGS,NA,NA,NA,NA,1,0,1,0
00015,CI/PAB/00015/01-20,Violencia familiar,2020-01-03,"VIOLENCIA FAMILIAR, EL PADRE DE SUS HIJOS LA AGREDE FISICAMENTE,.. PR1 (IDENTIFICADO).",NA,NA,NA,NA,PAB,NA,NA,NA,NA,1,0,1,0
00016,CI/PAB/00016/01-22,Violencia familiar,2022-01-07,VIOLENCIA FAMILIAR: LA DENUNCIANTE SEÑALA QUE SU ESPOSO QUIEN ES ADICTO A LAS DROGAS LA HA ESTADO AGREDIENDO FISICA Y VERBALMENTE DURANTE SU MATRIMONIO. P.R. 1(IDENTIFICADO).,NA,NA,NA,NA,PAB,NA,NA,NA,NA,1,0,1,0
00017,CI/ELL/00017/01-22,Violencia familiar,2022-01-25,VIOLENCIA FAMILIAR: Q.R.R..,NA,NA,NA,NA,ELL,NA,NA,NA,NA,1,0,1,0
00018,CI/RIN/00018/01-20,Violencia familiar,2020-01-06,"VIOLENCIA FAMILIAR, REFIERE LA DENUNCIANTE QUE SUFRE VIOLENCIA PSICOLOGICA POR PARTE DE SU PAREJA, PR1 (IDENTIFICADO).",NA,NA,NA,NA,RIN,NA,NA,NA,NA,1,0,1,0
00019,CI/AGS/00019/01-20,Violencia familiar,2020-01-01,"VIOLENCIA FAMILIAR, SE INFORMA SOBREUN BEBE DE 22 DIAS DE NACIDO, QUIEN INGRESÓ AL HOSPITAL GENERAL DE JESUS MARÍA.  ESTUVO ENFERMO DIAS ANTES, SIN QUE LA MADRE LO LLEVARA A RECIBIR ATENCIÓN MEDICA; ESTA EN TERAPIA INTENSIVA, MUY DELICADO, POSIBLE DELITO DE EXPOSICIÓN DE MENORES, PREVISTO EN EL NUMERAL 133-A DEL CODIGO PENAL VIGENTE. QRR",NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,0,1,0
00019,CI/RIN/00019/01-21,Violencia familiar,2021-01-07,"VIOLENCIA FAMILIAR: LA DENUNCIANTE MANIFIESTA QUE SU ESPOSO LA GOLPEA, NO LA DEJA SALIR DE SU CASA Y AMENAZ CON CAUSARLE UN MAL A SU FAMILIA SI LO DEJA. P.R. 1(IDENTIFICADO)",Juz. de Oralidad del IV Partido Judicial en Rin.,0115/21,2021-09-08,NA,RIN,0115,244,NA,NA,2,0,1,0
00020,CI/TEP/00020/02-21,Violencia familiar,2021-02-12,"VIOLENCIA FAMILIAR+ REFIERER QUE SU CONCUBINO LA HA MALTRATADO Y AGREDIDO FISICAMENTE EN DIFERENTES OCASIONES, PR1 IDENTIFICADO.",NA,NA,NA,NA,TEP,NA,NA,NA,NA,1,0,1,0
00021,CI/AGS/00021/01-22,Violencia familiar,2022-01-01,VIOLENCIA FAMILIAR-  LA OFENDIDA REFIERE QUE DURANTE UNA DISCUSION SU ESPOSO LA AGREDIO FISICAMENTE- PR1(IDENTIFICADO).,NA,NA,NA,NA,AGS,NA,NA,NA,NA,1,0,1,0
00022,CI/AST/00022/01-22,Violencia familiar,2022-01-18,VIOLENCIA FAMILIAR/ OFENDIDA SEÑALA QUE CONSTANTEMENTE ES VICTIMA DE AGRESIONES FISICAS Y VERBALES POR PARTE DE SU HIJO. PR1.(IDENTIFICADO),NA,NA,NA,NA,AST,NA,NA,NA,NA,1,0,1,0
00024,CI/TEP/00024/02-22,Violencia familiar,2022-02-24,VIOLENCIA FAMILIAR/ DENUNCIANTE SEÑALA QUE SU HIJA MENOR DE EDAD ES VIOLENTABA FISICA Y PSICOLOGICAMENTE POR LA MADRE. PR1.(IDENTIFICADA),NA,NA,NA,NA,TEP,NA,NA,NA,NA,1,0,1,0
00025,CI/AGS/00025/01-22,Violación,2022-01-01,VIOLACION- PR1(IDENTIFICADO).,NA,NA,NA,NA,AGS,NA,NA,NA,NA,1,1,0,0
00027,CI/PAB/00027/01-21,Violación,2021-01-05,VIOLACION- PR1 (DETENIDO).,NA,NA,NA,NA,PAB,NA,NA,NA,NA,3,1,1,1
00027,CI/CAL/00027/01-22,Violencia familiar,2022-01-14,VIOLENCIA FAMILIAR/ OFENDIDA SEÑALA QUE SU ESPOSO LA AGREDE VERBALMENTE Y LA AHORCA HASTA PERDER EL CONOCIMIENTO; ADEMAS LA AMENAZA CON CAUSARLE DAÑO. PR1.(IDENTIFICADO),NA,NA,NA,NA,CAL,NA,NA,NA,NA,3,1,1,1
00027,CI/TEP/00027/03-22,Violencia familiar,2022-03-01,VIOLENCIA FAMILIAR: LA DENUNCIANTE REFIERE QUE SU CONCUBINO EJERCE SOBRE ELLA VIOLENCIA FISICA Y MORAL. P.R. 1(IDENTIFICADO),NA,NA,NA,NA,TEP,NA,NA,NA,NA,3,1,1,1
00028,CI/AGS/00028/01-20,Violencia familiar,2020-01-01,"VIOLENCIA FAMILIAR, SU PAREJA LA AGREDE FISICA Y VERBALMENTE. PR1 (IDENTIFICADO).",NA,NA,NA,NA,AGS,NA,NA,NA,NA,1,0,1,0
00030,CI/AGS/00030/01-20,Violencia familiar,2020-01-01,"VIOLENCIA FAMILIAR, SU ESPOSO ES MUY AGRESIVO CON ELLA Y SU FAMILIA. PR1 (IDENTIFICADO).",NA,NA,NA,NA,AGS,NA,NA,NA,NA,1,0,1,0
00031,CI/ELL/00031/03-21,Violencia familiar,2021-03-26,VIOLENCIA FAMILIAR- OFENDIDA ES CONSTANTEMENTE AGREDIDA VERBALMENTE POR UNO DE SUS HIJOS QUIEN LA MALTRATA Y BUSCA SACAR DE SU CASA. PR1 (IDENTIFICADO).,NA,NA,NA,NA,ELL,NA,NA,NA,NA,1,0,1,0
00032,CI/AGS/00032/01-22,Violación,2022-01-01,VIOLACION/ QRR,NA,NA,NA,NA,AGS,NA,NA,NA,NA,1,1,0,0
00033,CI/AGS/00033/01-20,Violencia familiar,2020-01-01,"VIOLENCIA FAMILIAR, SU PAREJA  LA DAÑA PSICOLOGICAMENTE  Y  LA  JALONEA,  PR1 (IDENTIFICADO)",NA,NA,NA,NA,AGS,NA,NA,NA,NA,3,0,1,0
00033,CI/JMA/00033/01-20,Violencia familiar,2020-01-09,"VIOLENCIA FAMILIAR, SU PAREJA LA AGREDE FISICA Y VERBALMENTE. PR1 (IDENTIFICADO).",NA,NA,NA,NA,JMA,NA,NA,NA,NA,3,0,1,0
00033,CI/JMA/00033/01-21,Violencia familiar,2021-01-14,"VIOLENCIA FAMILIAR/ DENUNCIANTE REFIERE QUE LA MADRE DE SUS MENORES HIJOS, LOS VIOLENTA FISICA Y VERBALMENTE/ PR1.(IDENTIFICADA)",NA,NA,NA,NA,JMA,NA,NA,NA,NA,3,0,1,0
00034,CI/AGS/00034/01-20,Violencia familiar,2020-01-01,"VIOLENCIA FAMILIAR, REFIERE QUE SU HIJO DROGADICTO LO GOLPEÓ EN EL ROSTRO. PR1 (IDENTIFICADO).",NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,0,1,0
00034,CI/AGS/00034/01-21,Violencia familiar,2021-01-01,"VIOLENCIA FAMILIAR, SUFRE DE VIOLENCIA POR PARTE DE SU ESPOSO Y EN ESTA OCASION QUE LA AGREDIO, SUSTRAJO VARIOS OBJETOS . PR1 (IDENTIFICADO).",NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,0,1,0
00036,CI/JMA/00036/01-20,Violencia familiar,2020-01-10,"VIOLENCIA FAMILIAR, SU HIJO MENOR DE EDAD AGREDIO A OTRO  HIJO Y A ELLA, PR1 (IDENTIFICADO).",NA,NA,NA,NA,JMA,NA,NA,NA,NA,1,0,1,0
00038,CI/JMA/00038/01-20,Violencia familiar,2020-01-10,"VIOLENCIA FAMILIAR, SU HERMANO LES AVENTO UNA LADRILLO EN LA CABEZA A ELLA Y SU HERMANA, PR1 (IDENTIFICADO)",NA,NA,NA,NA,JMA,NA,NA,NA,NA,3,1,1,1
00038,CI/TEP/00038/03-21,Violencia familiar,2021-03-09,VIOLENCIA FAMILIAR/ LA OFENDIDA REFIERE QUE ES VICTIMA DE AMENAZAS POR PARTE DE SU ESPOSO/ PR1,NA,NA,NA,NA,TEP,NA,NA,NA,NA,3,1,1,1
00038,CI/TEP/00038/04-22,Violación,2022-04-01,VIOLACION< PR1 (IDENTIFICADO). < SE REASIGNA A UNIDAD DE ADOLESCENTES 03/05/2022,NA,NA,NA,NA,TEP,NA,NA,NA,NA,3,1,1,1
00039,CI/ELL/00039/04-21,Violencia familiar,2021-04-09,VIOLENCIA FAMILIAR/ OFENDIDA REFIERE QUE SU HIJO LA INSULTA CONSTANTEMENTE Y LA AGREDE FISICAMENTE/ PR1.(IDENTIFICADO),NA,NA,NA,NA,ELL,NA,NA,NA,NA,1,0,1,0
00040,CI/SFR/00040/02-21,Violencia familiar,2021-02-03,"VIOLENCIA FAMILIAR, SU ESPOSO LA AGREDIO FISICAMENTE. PR1 (IDENTIFICADO).",NA,NA,NA,NA,SFR,NA,NA,NA,NA,1,0,1,0
00041,CI/CAL/00041/01-20,Violencia familiar,2020-01-16,"VIOLENCIA FAMILIAR, EL PR. ES CONCUBINO DE LA OFENDIDA Y LA AMENAZA CON QUE SE VA A MATAR. PR1 (IDENTIFICADO).",NA,NA,NA,NA,CAL,NA,NA,NA,NA,3,0,1,0
00041,CI/RIN/00041/01-21,Violencia familiar,2021-01-12,"VIOLENCIA FAMILIAR, SU PAREJA LA AGREDIO FISICAMENTE Y LE MANIFIESTA AMENAZAS. PR1 (IDENTIFICADO)",NA,NA,NA,NA,RIN,NA,NA,NA,NA,3,0,1,0
00041,CI/AGS/00041/01-22,Violencia familiar,2022-01-01,"VIOLENCIA FAMILIAR/ DENUNCIANTE REFIERE QUE SU CONCUBINO LA AGREDIO FISICAMENTE, LA INSULTO Y AMENAZO CON PRIVARLA DE LA VIDA. PR1.(IDENTIFICADO)",NA,NA,NA,NA,AGS,NA,NA,NA,NA,3,0,1,0
00043,CI/RIN/00043/01-21,Violencia familiar,2021-01-12,"VIOLENCIA FAMILIAR, EL PR SE DROGA, SIN RAZON ALGUNA GOLPEA A SU CONCUBINA, ALUCINA QUE LA VA MATAR, INCLUYENDO A SUS HIJOS. PR1 (IDENTIFICADO).",NA,NA,NA,NA,RIN,NA,NA,NA,NA,1,0,1,0
00044,CI/CAL/00044/02-21,Violencia familiar,2021-02-02,VIOLENCIA FAMILIAR.  LA DENUNCIANTE REFIERE QUE SU CONCUBINO LA GOLPEO EN PRESENCIA DE SUS HIJOS EN EL INTERIOR DE SU DOMICILIO.  P.R.1.  IDENTIFICADO.,NA,NA,NA,NA,CAL,NA,NA,NA,NA,3,0,1,0
00044,CI/COS/00044/03-21,Violencia familiar,2021-03-11,VIOLENCIA FAMILIAR: LA DENUNCIANTE SEÑALA QUE SU PAREJA LA ATROPELLO CUANDO IBA EN SU BICICLETA Y EL IRLE A RECLAMAR A SU TRABAJO LA AGREDIO FISICAMENTE. P.R. 1(IDENTIFICADO),NA,NA,NA,NA,COS,NA,NA,NA,NA,3,0,1,0
00044,CI/AGS/00044/01-22,Violencia familiar,2022-01-01,"VIOLENCIA FAMILIAR/ OFENDIDA REFIERE QUE SU ESPOSO LA AGREDE FISICA Y VERBALMENTE, CAUSANDOLE LESIONES EN EL CUERPO. PR1.(IDENTIFICADO)",Juz. de Oralidad del I Partido Judicial en Ags.,0223/22,2022-05-30,NA,AGS,0223,149,NA,NA,3,0,1,0
00045,CI/CAL/00045/01-20,Violencia familiar,2020-01-20,"VIOLENCIA FAMILIAR, SU ESPOSO TRATO DE ESTRANGULARLA, ADEMAS LA AGREDIO FIDICA Y VERVALMENTE . PR1 (IDENTIFICADO).",NA,NA,NA,NA,CAL,NA,NA,NA,NA,1,0,1,0
00046,CI/RIN/00046/01-21,Violencia familiar,2021-01-13,VIOLENCIA FAMILIAR- OFENDIDA ES CONSTANTEMENTE AGREDIDA VERBAL Y FISICAMENTE POR SU PAREJA. PR1 (IDENTIFICIADO).,NA,NA,NA,NA,RIN,NA,NA,NA,NA,1,0,1,0
00048,CI/AGS/00048/01-22,Violencia familiar,2022-01-01,VIOLENCIA FAMILIAR/ DENUNCIANTE REFIERE QUE SU CONCUBINO LAS INSULTO Y AGREDIO FISICAMENTE A ELLA Y SU HIJA MENOR DE EDAD. PR1.(IDENTIFICADO),NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,0,1,0
00048,CI/AST/00048/02-22,Violencia familiar,2022-02-01,VIOLENCIA FAMILIAR/ QRR,NA,NA,NA,NA,AST,NA,NA,NA,NA,2,0,1,0
00049,CI/CAL/00049/02-21,Violencia familiar,2021-02-08,"VIOLENCIA FAMILIAR/ SU ESPOSO LA VIOLENTA FISICA Y PSICOLOGICAMENTE ACUSANDOLA DE TENER VIDEOS PORNOGRAFICOS/ PR1.(IDENTIFICADO)
",NA,NA,NA,NA,CAL,NA,NA,NA,NA,1,0,1,0
00050,CI/JMA/00050/01-20,Violencia familiar,2020-01-15,"AMENAZAS, REFIERE QUE SU ESPOSO LA AMENAZO CON QUEMAR CON SUS PERTENENCIAS SI LO SACABA DE LA CASA. PR1 (IDENTIFICADO).",NA,NA,NA,NA,JMA,NA,NA,NA,NA,2,0,1,0
00050,CI/PAB/00050/01-22,Violencia familiar,2022-01-18,VIOLENCIA FAMILIAR- LA OFENDIDA REFIERE QUE DURANTE UNA DISCUSION SU PADRE LA AGREDIO DE FORMA VERBAL Y FISICA- PR1(IDENTIFICADO).,NA,NA,NA,NA,PAB,NA,NA,NA,NA,2,0,1,0
00051,CI/AGS/00051/01-21,Violencia familiar,2021-01-01,"VIOLENCIA FAMILIAR+ SEÑALA QUE SU CONCUBINO LA AGREDIO FISICAMENTE CAUSANDOLE VARIAS LESIONES, LA HA GOLPEADO CON ATERIORIDAD MIENTRAS ESTABA EMBARAZADA, PR1 DETENIDO",NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,0,1,0
00051,CI/SFR/00051/02-21,Violencia familiar,2021-02-08,"VIOLENCIA FAMILIAR- OFENDIDA ES CONSTANTEMENTE AGREDIDA VERBAL Y FISICAMENTE POR SU AUN ESPOSO A PESAR DE ESTAR EN PROCESO DE DIVORCIO, QUIEN TAMBIEN AMENAZA CON MATARLA. PR1 (IDENTIFICADO).",NA,NA,NA,NA,SFR,NA,NA,NA,NA,2,0,1,0
00052,CI/JMA/00052/01-21,Violencia familiar,2021-01-19,VIOLENCIA FAMILIAR/ OFENDIDA REFIERE QUE SU MADRE Y SUS HERMANOS LA INSULTAN Y AMENAZAN CON GOLPEARLA/ PR3.(IDENTIFICADOS),NA,NA,NA,NA,JMA,NA,NA,NA,NA,3,0,1,0
00052,CI/PAB/00052/01-22,Violencia familiar,2022-01-18,"VIOLENCIA FAMILIAR- EL OFENDIDO REFIERE QUE SUS HIJAS Y EL, SON VICTIMAS DE AGRESIONES VERBALES POR PARTE DE SU PAREJA-PR1(IDENTIFICADA).",NA,NA,NA,NA,PAB,NA,NA,NA,NA,3,0,1,0
00052,CI/COS/00052/02-22,Violencia familiar,2022-02-28,"VIOLENCIA FAMILIAR+ REFIERE QUE SU CONCUBINO LA MALTRATA Y LA AGREDE FISICAMENTE, ADEMAS LA AMENAZO A ELLA Y A SUS HIJAS CON UN CUCHILLO, Y DE MUERTE, PR1 IDENTIFICADO.",NA,NA,NA,NA,COS,NA,NA,NA,NA,3,0,1,0
00054,CI/AGS/00054/01-22,Violencia familiar,2022-01-02,"VIOLENCIA FAMILIAR/ DENUNCIANTE SEÑALA QUE EN MULTIPLES OCASIONES A  SIDO AGREDIDA FISICA Y VERBALMENTE POR SU AUN ESPOSO, QUIEN ADEMAS MALTRATA A SUS HIJOS Y AMENAZA CON CAUSARLES DAÑO. PR1.(IDENTIFICADO)",NA,NA,NA,NA,AGS,NA,NA,NA,NA,1,0,1,0
00055,CI/RIN/00055/01-20,Violencia familiar,2020-01-14,"VIOLENCIA FAMILIAR, SUS PADRES, EN VARIOS OCASIONES LO AGREDEN FISICAMENTE,  ADEMAS DE ESTO EL RECIBE UNA PENSION POR SU DISCAPACIDAD Y SE LA QUITAN. PR2 (IDENTIFICADOS).",NA,NA,NA,NA,RIN,NA,NA,NA,NA,1,0,1,0
00056,CI/JMA/00056/01-21,Violencia familiar,2021-01-20,VIOLENCIA FAMILIAR: LA DENUNCIANTE SEÑALA QUE SU PAREJA DE QUIEN TIENE SEPARADA VARIOS AÑOS ACUDIO A SU DOMICILIO EN DONDE LA AMENAZO DE MUERTE Y AGREDIO FISICAMENTE. P.R. 1(IDENTIFICADO),NA,NA,NA,NA,JMA,NA,NA,NA,NA,1,0,1,0
00057,CI/TEP/00057/05-22,Violencia familiar,2022-05-24,"VIOLENCIA FAMILIAR, PR1",NA,NA,NA,NA,TEP,NA,NA,NA,NA,1,0,1,0
00059,CI/AGS/00059/01-21,Violencia familiar,2021-01-01,VIOLENCIA FAMILIAR/ OFENDIDA REFIERE QUESU CONCUBINO LA AGREDE CONSTANTEMENTE DE FORMA FISICA Y VERBAL/ PR1.(IDENTIFICADO),NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,1,1,1
00059,CI/AGS/00059/01-22,Violación,2022-01-02,VIOLACION/ PR1.(IDENTIFICADO),NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,1,1,1
00061,CI/AGS/00061/01-20,Violencia familiar,2020-01-02,VIOLENCIA FAMILIAR: SEÑALA LA DENUNCIANTE QUE SU PAREJA LA AGREDE FISICAMENTE Y AMENAZA CON MATARLA. P.R. 1(IDENTIFICADO),NA,NA,NA,NA,AGS,NA,NA,NA,NA,3,0,1,0
00061,CI/JMA/00061/01-20,Violencia familiar,2020-01-20,"VIOLENCIA FAMILIAR, SU ESPOSO LLEGO BORRACHO Y LA GOLPEO, PR1 (IDENTIFICADO).",NA,NA,NA,NA,JMA,NA,NA,NA,NA,3,0,1,0
00061,CI/AGS/00061/01-21,Violencia familiar,2021-01-01,VIOLENCIA FAMILIAR POR PARTE LA MADRE HACIA SUS HIJO HECHOS EN FRACC VALLE DE LOS CACTUS,Juz. de Oralidad del I Partido Judicial en Ags.,0513/22,2022-07-13,NA,AGS,0513,558,NA,NA,3,0,1,0
00063,CI/AGS/00063/01-20,Violencia familiar,2020-01-02,VIOLENCIA FAMILIAR: SEÑALA LA DENUCIANTE QUE SU PAREJA LA AMENAZA DE MUERTE ADEMAS DE AGREDIRLA FISICAMENTE. P.R. 1(IDENTIFICADO),Juz. de Oralidad del V Partido Judicial en J. Ma.,0140/21,2021-10-05,NA,AGS,0140,642,NA,NA,2,0,1,0
00063,CI/COS/00063/03-22,Violencia familiar,2022-03-10,VIOLENCIA FAMILIAR- LA DENUNCIANTE REFIERE QUE SU MENOR HIJA Y ELLA SON VICTIMAS DE VIOLENCIA FISICA Y VERBAL POR PARTE DE SU CONCUBINO-PR1(IDENTIFICADO).,NA,NA,NA,NA,COS,NA,NA,NA,NA,2,0,1,0
00064,CI/AGS/00064/01-21,Violencia familiar,2021-01-01,"VIOLENCIA FAMILIAR/ OFENDIDA REFIERE QUE SU PAREJA EJERCE VIOLENCIA FISICA Y VERBAL SOBRE SU PERSONA, ADEMAS ROMPE EL PARABRISAS DE UN AMIGO QUE INTENTA DEFENDERLA/ PR1.(DETENIDO)",NA,NA,NA,NA,AGS,NA,NA,NA,NA,1,0,1,0
00066,CI/JMA/00066/01-22,Violencia familiar,2022-01-17,"VIOLENCIA FAMILIAR/ OFENDIDO SEÑALA QUE ES VICTIMA DE CONSTANTES AGRESIONES FISICAS Y VERBALES POR PARTE DE SU HIJO, QUE ADEMAS LA HA AMENAZADO CON MATARLA. PR1.(IDENTIFICADO)",NA,NA,NA,NA,JMA,NA,NA,NA,NA,1,0,1,0
00068,CI/RIN/00068/01-20,Violencia familiar,2020-01-17,"VIOLENCIA FAMILIAR, REFIERE LA DENUNCIANTE QUE SU ESPOSO CONTINUAMENTE LA GOLPEA PR1 (IDENTIFICADO).",NA,NA,NA,NA,RIN,NA,NA,NA,NA,1,0,1,0
00070,CI/ELL/00070/06-22,Violencia familiar,2022-06-02,"VIOLENCIA FAMILIAR/ OFENDIDA SEÑALA QUE DURANTE QUINCE AÑOS DE MATRIMONIO CON EL IMPUTADO, HA SIDO VICTIMA DE CONSTANTES AGRESIONES FISICAS Y VERBALES, QUE HASTA LA FECHA SU ESPOSO LA AMENAZA CON PRIVARLA DE  LA VIDA. PR1 (IDENTIFICADO)",NA,NA,NA,NA,ELL,NA,NA,NA,NA,1,0,1,0
00071,CI/AGS/00071/01-20,Violencia familiar,2020-01-02,VIOLENCIA FAMILIAR: SEÑALA LA DENUNCIANTE QUE SU PAREJA LA AGREDE FISICA Y VEBALMENTE. P.R. 1(IDENFICADO).,NA,NA,NA,NA,AGS,NA,NA,NA,NA,2,0,1,0
00071,CI/ELL/00071/06-21,Violencia familiar,2021-06-04,VIOLENCIA FAMILIAR.  EL ESPOSO DE LA DENUNCIANTE LA AGREDE FISICAMENTE.  P.R.1. IDENTIFICADA.,NA,NA,NA,NA,ELL,NA,NA,NA,NA,2,0,1,0
